Ticker,Buy/Sell,Date,Price,P/E Ratio,Fwd P/E Ratio,P/B Ratio,RSI,Upper BB,Bollinger %b,Lower BB,vol,Z Score,MACD,VWAP, OBV,Stoch,Awesome Oscillator,Ultimate Oscillator,TSI,Acum/Dist
MTB,Buy,2022-04-04,165,0,0,0,27.85872037,187.6320285,0.047945108,164.1769715,5.863764262,-1.762434426,-1.71236183,172.9243089,-13780400,14.28571429,-5.244382353,41.65363737,-2.671640371,-20617434.35
ODFL,Buy,2022-04-04,278.07,38.47822,29.150167,11.078183,17.51236081,337.218704,-0.097288858,282.228296,13.747602,-2.328660664,-4.724665858,306.0231078,-1963200,9.119886665,-5.769058824,41.42854662,-4.865731983,1154034.093
CFG,Buy,2022-04-04,43.79,10.939298,8.475248,0.7152556,19.82617144,51.50381956,-0.075993967,44.01018044,1.873409782,-2.245637896,-0.401043858,47.85448875,-42874700,8.877928483,-3.314764706,35.49801027,-12.62456849,-11509879.9
JBHT,Buy,2022-04-04,181.81,28.816092,20.957159,5.0446463,9.518913466,225.9321744,-0.121475055,181.7968256,11.03383718,-2.422955819,-3.8472858,202.634133,-8044100,3.13827277,-2.502911765,34.34310719,-7.516663949,-4188879.088
TFC,Buy,2022-04-04,54.9,0,0,0,26.68279624,61.12144375,-0.027851966,55.35355625,1.441971877,-2.057945822,-0.234208145,58.49706869,-47858100,17.30496454,-1.674764706,45.78386234,-7.565336834,-8468634.769
KEY,Buy,2022-04-04,21.62,16.954546,8.880953,1.1513234,19.35449747,24.94611733,-0.055155849,21.71288267,0.808308663,-2.164395954,-0.176367951,23.37847463,-97135800,11.5819209,-1.296882353,35.609426,-12.45844081,-111049079.6
UHS,Buy,2022-04-05,139.7,16.74389,11.495973,1.8714491,20.43043265,153.3306576,-0.101009321,140.3533424,3.244328817,-2.343165699,-1.432220134,145.7459942,-564100,8.786610879,-1.082588235,38.51506705,2.31904755,1118319.644
BAX,Buy,2022-04-05,75.32,0,0,0,39.02354838,76.61602366,0.117140116,72.17697634,1.109761828,-1.492662621,0.006251585,76.78042926,-12615000,-47.77777778,-3.098323529,-3.021901369,-25.62000162,-776207892.6
GLW,Buy,2022-04-06,35.22,48.382355,15.231482,2.3354867,19.3233734,39.14811867,-0.100096285,35.25088133,0.974309337,-2.33960603,-0.147650726,37.40660344,-7410200,5.955334988,-2.046882353,37.06342641,-22.54086427,-62747521.01
HPE,Buy,2022-04-06,15.7,12.44138,8.8,1.0948596,18.43555113,17.8258814,-0.059145974,15.6671186,0.539690701,-2.179952328,-0.168246113,16.82205168,14312600,4.566210046,-0.380088235,37.24924353,1.276267798,62859202.1
PCAR,Buy,2022-04-06,54.97,13.017123,13.399529,3.7579093,26.62448693,61.5303088,0.036071574,55.3546912,1.543904398,-1.808725983,-0.322446719,58.05454618,-2236200,17.77777778,-2.574294118,46.4501887,-8.812433575,598222.0722
FICO,Buy,2022-04-06,437.09,0,0,0,18.73190798,502.7186154,-0.199102114,431.9393846,17.69480771,-2.725601814,-4.275802374,463.2705816,-280400,5.834829443,-22.99705882,35.26422467,-17.33544592,-217175.8553
QRVO,Buy,2022-04-06,115.68,0,0,0,24.14145655,135.2666742,-0.061329553,115.9883258,4.819587092,-2.188465484,-1.097325785,125.9146496,-665800,5.005382131,-7.137411765,37.89561321,-10.53855999,613076.1913
UPS,Buy,2022-04-06,195.58,19.839743,15.9536085,7.6276617,15.78574158,228.9333655,-0.057478179,195.8256345,8.276932737,-2.173450066,-2.570287087,211.5597968,15906400,3.7109375,-5.504147059,34.24173078,22.12655251,-22626779.01
FITB,Buy,2022-04-06,41.06,11.403727,10.551724,1.4663951,18.19079771,49.13551724,0.023238761,40.68148276,2.113508619,-1.858757501,-0.545027741,44.633454,-59193500,5.241935484,-3.372294118,30.66003532,-11.49906641,14501361.58
MKTX,Buy,2022-04-06,301.46,32.58102,27.01937,6.54199,12.98083478,377.9844937,-0.342093319,309.7255063,17.06474683,-3.28308416,-5.398298858,334.9992334,-2779200,4.804270463,-26.29905882,25.09900257,-21.15346222,-1425788.621
ALLE,Buy,2022-04-07,106.11,21.411764,17.333332,8.698307,34.95675629,116.6008226,0.125750433,104.1341774,3.116661296,-1.459093424,-0.535188906,111.0755274,-3946900,-1.392111369,-4.219852941,-14.03922105,-21.97243248,-78641179
PTC,Buy,2022-04-07,100.64,94.116165,30.449348,7.9308,41.03282116,113.911158,0.218025346,101.119842,3.197828992,-1.099339586,-0.467548505,107.6728393,-3838900,29.70822281,-2.452235294,38.23949347,-10.33566344,1393964.84
TEL,Buy,2022-04-07,124.8,13.405892,16.789286,3.3219485,29.24293761,136.7725004,0.074599399,124.3384996,3.108500188,-1.658516869,-0.325116414,130.7725703,-8926600,12.82051282,-4.640617647,37.06740316,-15.15583102,-9167406.866
LEN,Buy,2022-04-07,75,11.944687,10.181141,1.734682,18.96230355,93.00476127,-0.042062529,75.17523873,4.457380633,-2.113348797,-0.901273261,82.39728877,-15232600,8.654848801,-6.612823529,28.23460583,-22.97680836,-14054946.56
FDX,Buy,2022-04-07,203.72,14.988137,11.69366,2.3592567,21.77630034,240.5199407,0.025591681,202.3340593,9.546470331,-1.849584128,-2.250754748,221.900843,-10482100,10.76487252,-5.534676471,29.26054848,-4.240602487,-7319858.486
GS,Buy,2022-04-07,315,16.892387,9.896463,1.2446856,15.99092846,350.052517,-0.052504127,315.481483,8.642758514,-2.154057639,-1.835903476,331.6311281,-30509700,15.6167979,-10.85567647,32.44923306,-8.131053727,-33189036.25
QCOM,Buy,2022-04-07,139.79,24.376068,15.903345,8.297129,27.94487689,164.4989471,0.025110873,138.2450529,6.563473567,-1.851458664,-1.082931152,150.8010946,11968400,9.433962264,-10.87020588,40.83945922,-15.71042899,17479170.59
ETN,Buy,2022-04-07,143.66,36.496258,25.83407,6.1412897,27.58728811,159.1952859,0.076304059,144.5997141,3.648892947,-1.651870879,-0.919498862,151.45056,10616600,19.97363217,-3.443823529,42.73721805,-6.953860109,5467044.502
EFX,Buy,2022-04-07,222.26,59.943054,27.241201,7.138594,26.60595771,246.1160433,0.055781808,222.8719567,5.811021651,-1.731881346,-1.735731888,234.194195,4373300,23.095526,2.466029412,40.64628744,4.885892458,-988168.3
HBAN,Buy,2022-04-07,14.09,10.854838,9.683454,1.1495432,18.30300643,15.76957333,-0.093347021,13.98942667,0.445036663,-2.313292556,-0.112534886,14.71235891,-127427500,11.73469388,-0.630735294,31.97014732,-6.173468482,4259684.727
F,Buy,2022-04-07,15.07,11.212962,6.5815215,1.1250464,20.98681222,17.77789597,-0.096075272,15.17110403,0.651697985,-2.323929237,-0.115571925,16.4673173,-906115000,12.34567901,-0.742823529,40.09648794,-10.59573942,85236333.85
RF,Buy,2022-04-07,20.67,9.274881,8.855204,1.1445783,16.34773532,24.28463327,-0.070569519,20.62536673,0.914816634,-2.224489504,-0.233143248,22.20659147,-85343500,12.19512195,-1.460970588,31.70240918,-10.8999072,-58406616.17
UNP,Buy,2022-04-07,243.61,23.933908,19.86248,10.302218,21.5488685,282.1128667,-0.00398408,244.5301333,9.395683373,-1.964891671,-3.690185116,261.8052422,4849500,12.43576567,-5.174676471,37.30330056,0.612648443,-31579896.67
DD,Buy,2022-04-07,70.02,66.19266,17.343752,1.2781675,22.02331039,79.52493192,-0.019306902,69.77006808,2.438715959,-2.024631029,-0.586820005,74.38860629,-8927900,19.32114883,-2.476,42.05364693,-6.89638699,-22857028.09
GM,Buy,2022-04-07,39.29,5.400273,4.3296824,0.7378855,19.80360385,46.89079843,-0.092285431,39.30620157,1.896149214,-2.309153714,-0.332343647,42.86154706,-325112600,12.25382932,-2.313764706,29.69489734,-12.07869592,-84546208.69
BEN,Buy,2022-04-08,26.35,14.947369,9.826989,1.1706995,22.90362662,28.96602091,-0.004646255,26.25797909,0.677010456,-1.967473305,-0.078831945,27.60826169,3934700,19.88636364,-0.982411765,40.9322654,-14.76372233,-5252585.391
WBD,Buy,2022-04-08,23.07,0,0,0,44.8663338,27.78393358,0.264096308,23.18906642,1.14871679,-0.91972191,-0.154746225,24.95130914,-86379100,37.40310078,-1.964794118,50.32895648,-22.05275706,-2008751.75
CZR,Buy,2022-04-08,69.96,11.711538,17.189516,2.020954,26.49667821,83.91203202,-0.077082818,69.85796798,3.513516008,-2.249883018,-0.893696787,75.96243552,-12169800,9.424460432,-3.799147059,42.05473068,-2.580064973,271343.5075
NXPI,Buy,2022-04-11,165.43,23.694107,16.257381,7.5363736,16.23186887,200.4387486,-0.040078329,166.4182514,8.505124322,-2.10561296,-2.069099564,179.264212,-27296700,2.436708861,-11.5045,41.70767191,-13.33803123,-1371390.269
IR,Buy,2022-04-11,46.63,47.115788,25.146067,3.690481,15.0887449,52.34524461,-0.044168305,46.59475539,1.437622306,-2.121558623,-0.26047579,49.07410673,-19674000,3.256704981,-1.7935,35.07403887,-14.63498306,-18014001.43
TXT,Buy,2022-04-11,68.3,20.089714,13.442166,2.5347173,13.86687188,78.09620035,-0.047042483,68.15979965,2.484100176,-2.13276423,-0.890391981,72.6672582,-2576900,1.311084625,-2.065294118,32.23960073,-4.736496304,1550265.51
MPWR,Buy,2022-04-12,406.93,81.91003,44.558243,16.849491,25.62065941,525.063767,0.045720333,393.512233,32.88788348,-1.771108196,-10.66369391,456.1927159,2195900,6.721378744,-26.6845,36.76540705,-5.783062475,676637.4268
ITW,Buy,2022-04-12,201.36,26.876797,23.906849,26.014112,17.38012083,218.7280159,-0.020692558,199.9509841,4.694257943,-2.030033312,-0.865178966,208.6069046,-3796300,4.741980474,-6.647529412,42.51236279,-22.34024717,-6403902.469
AMD,Buy,2022-04-12,98.78,367.3889,36.202553,5.73597,16.12814646,127.1760152,-0.01622946,95.20098477,7.993757614,-2.012632954,-2.036637515,110.2671662,306602600,1.609269392,-10.44429412,40.04396944,-13.45050444,75393246.06
NVDA,Buy,2022-04-12,225.37,71.897736,28.715767,49.1767,16.18634142,300.2483099,-0.039796644,217.2096901,20.75965493,-2.10451475,-7.053599603,258.2017216,-23869000,2.896659708,-13.71235294,33.7447298,-6.44897363,163212389.7
GNRC,Buy,2022-04-12,275.29,35.53354,14.56875,2.9949892,19.00658326,337.3151786,-0.182979698,275.1928214,15.53058931,-2.662745063,-5.351791493,300.1551094,-2690300,2.673796791,-16.24852941,32.1958691,-6.372588696,-1865249.705
APH,Buy,2022-04-12,72.32,35.33119,29.940054,7.8846154,27.31518509,76.61736229,-0.026969119,70.55263771,1.516181145,-2.054503851,-0.373364518,74.20977673,-606200,-16.5,-1.861411765,-12.74457319,-12.21816043,-286414125.3
DOV,Buy,2022-04-12,149.88,22.731384,17.301619,4.6829033,19.74581055,163.9546387,-0.091796566,149.0173613,3.734319356,-2.307247768,-0.989836216,155.2324722,-6538700,6.479750779,-3.482647059,42.94045532,-13.01078959,-6453719.451
CARR,Buy,2022-04-12,42.66,36.164555,18.551949,5.530926,13.4526648,47.93268484,-0.04634774,40.69531516,1.809342422,-2.130055623,-0.502316222,44.46709944,-34624500,-15.22988506,-1.937205882,-28.79728451,-17.67291996,-639897800
CSCO,Buy,2022-04-12,51.7,15.264439,13.21579,4.397548,14.17886264,57.34095675,-0.226505204,52.77104325,1.142478377,-2.832438727,-0.350755177,54.72091009,-32975000,6.227106227,-1.447588235,41.60216692,-15.41916115,35824678.19
TT,Buy,2022-04-12,147.56,31.860361,24.86116,9.188102,22.95898613,161.2034917,-0.066418377,147.6175083,3.396495834,-2.208305373,-0.82672493,153.7142179,-3776800,6.523201076,-2.439647059,44.33001077,-17.95565259,-19538068.32
MSFT,Buy,2022-04-12,289.24,36.641304,30.278442,12.617591,20.7373739,320.6760647,-0.074611179,284.2479353,9.107032332,-2.240246796,-2.852466822,303.5680725,-231149000,4.427523971,-1.198235294,36.87750605,-4.258937367,178379306.8
ANSS,Buy,2022-04-12,301.15,58.113243,30.914736,5.3779926,21.47657683,330.2631099,-0.109620374,294.5258901,8.934304953,-2.376737766,-2.344089935,312.8414257,-4848600,4.692230071,-5.753852941,37.82559756,-9.185217098,103139.4309
EXPE,Buy,2022-04-12,181.13,25.787193,8.7944765,12.233539,28.99812456,202.6995107,0.056588896,176.8574893,6.460505337,-1.728734738,-1.801876155,189.3224045,14490400,9.00286944,-6.431264706,35.61662615,-3.635097218,684675.9697
GOOGL,Buy,2022-04-12,131.6,23.736206,17.582375,6.053291,17.9678585,146.4926169,-0.068640004,128.6763831,4.454058439,-2.216966871,-1.485471141,138.0052204,100998000,5.411764706,-1.582970588,33.94849075,-0.703389449,-65359400
RVTY,Buy,2022-04-13,160.65,75.86111,20.96737,1.7126284,36.63025407,187.2302255,0.121848633,160.6807745,6.637362725,-1.474305444,-1.210698591,171.1572779,304100,18.27102804,-6.388323529,45.13967563,-10.73036989,2372488.748
ADSK,Buy,2022-04-13,196,61.784695,28.34907,29.794647,41.67362843,225.1539332,0.189094445,195.9970668,7.289216603,-1.212133002,-1.124067534,210.5283094,-14114600,22.75113756,-7.316294118,40.20102953,-11.65658382,-4629582.585
LRCX,Buy,2022-04-13,469.66,35.967556,26.047552,14.867325,26.72014822,585.6272602,0.070559546,462.5907398,30.75913008,-1.674267116,-6.469864226,514.5444996,-13376900,7.125977095,-37.16485294,31.08092959,-17.61944911,-2578785.095
MSCI,Buy,2022-04-13,477,0,0,0,43.79761997,527.0136318,0.257340665,481.1983682,11.45381591,-0.946060255,-1.63139149,505.6476105,-4378200,32.06543161,0.026882353,40.92018815,-0.761491122,1329404.407
A,Buy,2022-04-13,125.26,35.236843,24.1459,6.9752793,37.10119869,139.557069,0.035338169,126.095931,3.365284496,-1.811585323,-0.802933257,132.4928187,-5520500,12.63011797,-2.003382353,11.08307671,-5.010588032,-104444459.3
WST,Buy,2022-04-13,384.16,45.428207,39.50497,9.121106,30.01994788,426.5766727,-0.08118224,389.4853273,9.272836334,-2.265865507,-3.491323563,408.035552,962300,11.67900645,7.143294118,40.65011796,4.99195405,1287683.565
CTLT,Buy,2022-04-13,99.77,0,0,0,25.93560983,116.1232468,-0.035393456,101.2057532,3.729373413,-2.087347964,-1.318437862,109.2464153,-814500,8.431372549,2.340617647,35.15650068,9.245968173,-2334288.778
NDSN,Buy,2022-04-13,217.21,30.787134,23.460785,5.5267916,29.21811155,234.256377,0.006938659,218.585623,3.917688497,-1.922306995,-0.982071047,225.3515315,12170700,11.33445003,-2.228794118,37.76437512,-5.471372294,12541659.75
JCI,Buy,2022-04-13,62.26,22.754646,14.892943,2.4980614,27.37064304,68.06937746,-0.017497605,62.69362254,1.343938732,-2.017577093,-0.360691127,65.38487744,-37610100,17.39130435,-0.350970588,41.32910159,-8.583740726,-6384324.529
TTWO,Buy,2022-04-13,137.87,0,0,0,21.20259965,161.6591951,0.05001602,137.5068049,6.038097557,-1.754360525,-1.258706641,148.9069192,-10918700,11.6659492,-10.917,32.73873396,-28.19504218,-4472123.848
STX,Buy,2022-04-13,83.46,0,0,0,30.40215241,96.91006173,0.102196828,82.47993827,3.607530866,-1.550922281,-0.260587423,88.51562307,-22128200,11.61236424,-7.567705882,35.38549998,-26.38914334,1090665.906
CPRT,Buy,2022-04-13,30.08,38.95,33.869564,7.722702,31.52096387,32.63505721,-0.006272828,30.33494279,0.575028603,-1.973814856,-0.163879495,31.37396503,-4966800,10.86142322,0.225,39.85652653,-0.620004522,6083007.468
CDW,Buy,2022-04-13,171.34,30.572134,21.56,16.278643,23.52646823,181.9362404,-0.048790243,171.3397596,2.649120211,-2.139578255,-0.608972654,177.0043362,-8025700,7.332293292,-0.02,40.37830428,-5.809007479,-2777854.051
AXP,Buy,2022-04-13,174.23,19.642284,14.918021,5.674123,40.92553169,189.5475681,0.134063785,172.6594319,4.222034026,-1.426682012,-1.119624713,182.8066983,27781000,5.4,-2.145294118,-7.580806647,-0.563339233,-455904786.9
NFLX,Buy,2022-04-13,343.92,49.994175,28.426207,12.631479,35.43317715,398.4223719,0.091714443,344.9756281,13.36168596,-1.591790143,-2.792911921,371.5990008,-4635600,16.75099386,-14.48867647,39.92889067,-0.096904566,22553153.17
EMR,Buy,2022-04-13,92.86,32.155426,18.840206,3.0321887,24.23105814,100.7643104,0.050572413,92.81768957,1.986655216,-1.752191307,-0.72516671,96.52763558,19990000,11.97368421,-0.944970588,41.47374872,-0.812121337,4009517.261
IDXX,Buy,2022-04-13,500.73,54.667,43.106133,30.667824,34.15699698,568.9359021,0.005792112,507.4850979,15.36270106,-1.926777061,-5.542432668,538.0855723,-169400,23.52339181,-3.9865,39.71459036,0.287051594,687250.0826
ICE,Buy,2022-04-13,124.74,32.689735,20.690332,3.0518482,26.57710114,139.1852527,0.032685483,125.2077473,3.494376347,-1.821927397,-1.051942219,130.7125839,12220900,13.62098139,-2.990029412,33.80162175,-7.656634675,2160700.443
AME,Buy,2022-04-13,128.12,31.84155,24.179144,4.7841496,32.85124628,134.9865469,0.057481393,127.2914531,1.92377343,-1.725255141,-0.554441634,132.0869865,-5834800,-3.492433062,-0.508647059,-10.13444986,-3.604784275,-85969164.98
GOOG,Buy,2022-04-13,128.63,23.996546,17.767263,6.109133,30.22957723,147.0811104,0.072285412,128.7678896,4.57830522,-1.667538452,-1.486888313,138.1956564,153940000,16.34499397,-2.994617647,31.62215096,-2.902599038,-36893350.45
TECH,Buy,2022-04-13,102.87,54.050358,37.19307,6.012805,38.97698497,112.1155918,0.073460976,103.2314082,2.221045925,-1.662955259,-0.823263207,108.1092286,2598000,13.77192982,1.059382353,29.88645331,12.98422459,-23018631.87
JPM,Buy,2022-04-14,126.5,11.601356,11.608508,1.802646,17.74883837,146.1319276,-0.011661633,126.0940724,5.009463781,-1.994824284,-0.805773785,133.3248536,-220810900,5.920344456,-4.971382353,39.75231577,-18.80388491,-46155787.66
PYPL,Buy,2022-04-14,105.08,15.645834,10.767026,3.0595307,20.66768089,124.3250744,-0.111852573,104.2449256,5.020037219,-2.385440481,-1.184807532,113.27851,-277084100,1.198465964,-1.207676471,39.01875494,-4.483170069,-103262751.8
SPGI,Buy,2022-04-14,398.21,51.844475,26.734335,3.9187016,19.07264931,424.3442834,-0.202901255,393.3307166,7.753391703,-2.740413591,-2.97997209,408.4623502,7034200,1.614227086,0.633264706,40.85146981,1.445216435,-51004.35919
NTRS,Buy,2022-04-18,110.53,16.13189,12.194941,1.5263834,23.40631053,120.8888189,0.009102543,110.1691811,2.679909464,-1.913870624,-0.628748574,115.1081102,-3620800,6.303972366,0.273705882,41.70911527,-1.872214873,2525520.161
SNPS,Buy,2022-04-18,293.11,62.466297,35.734516,12.926327,24.58340269,347.8313315,0.019783811,295.4466685,13.09616573,-1.872227376,-4.498617692,319.3990612,5949800,9.799642928,-6.871205882,36.05069374,-3.261670141,4565151.968
BLK,Buy,2022-04-18,687,22.62572,18.040226,3.114246,14.21267232,753.0091564,-0.081216988,649.7938436,25.80382821,-2.26600098,-7.690676342,729.4124188,-10997600,-31.05495098,-17.5855,-14.06010296,-12.14677067,-234937758.8
STT,Buy,2022-04-18,74.54,13.161291,8.619719,1.016119,10.87498172,95.23030352,-0.108264593,76.15169648,4.769651758,-2.371451958,-1.146078413,83.11890992,-16106400,9.836065574,-4.472558824,35.79781458,-19.98809724,5400859.514
GWW,Buy,2022-04-18,488.62,26.592827,22.475868,15.262183,23.32666673,534.5619926,-0.040462158,491.7270074,10.70874629,-2.107109403,-3.634536936,515.3247421,2069500,8.321678322,11.25282353,36.26692776,10.98109362,307705.1441
CDNS,Buy,2022-04-18,148.52,80.03665,43.991367,24.402584,30.32133717,169.9449213,0.042092372,149.5130787,5.10796066,-1.78525259,-1.878448502,159.990803,11539500,11.56661786,-1.854470588,34.1116834,-0.582790704,5731086.571
ZBRA,Buy,2022-04-18,391,48.991264,19.9027,4.742427,26.59864277,443.6624633,0.007543519,393.2715367,12.59773167,-1.919948816,-2.471295902,417.1116082,-5948600,7.961087949,-7.392264706,36.89979108,-10.69012307,-2955237.12
TYL,Buy,2022-04-18,406.08,111.09327,41.795322,6.17247,22.4442146,460.3203988,-0.088306025,401.4236012,14.72419942,-2.293639134,-3.996218492,431.4600628,-1676900,4.147386461,-11.20411765,30.40936624,-10.82881517,-814073.2939
TRMB,Buy,2022-04-18,67.4,50.272,20.877077,3.4421558,23.37013778,75.14819323,-0.057154955,67.39380677,1.938596617,-2.172189905,-0.695604009,71.58368251,-12107700,9.606481481,-0.236794118,42.20102725,-0.059450333,2153211.622
FFIV,Buy,2022-04-18,198.17,25.247717,13.961788,3.9797363,24.97360603,217.9981929,-0.153512555,199.8198071,4.544596444,-2.547860991,-1.668689271,209.2226592,-1144300,4.788999526,0.722794118,38.36701805,-0.816016578,2482635.622
KMX,Buy,2022-04-18,91.3,25.920126,23.515942,2.1210456,27.73426485,106.3723246,0.000826437,90.90167542,3.867662289,-1.946136823,-0.753233258,97.6161522,-16164000,4.333764554,-4.742823529,44.79653091,-16.19442239,-7558309.134
TROW,Buy,2022-04-18,138.56,15.159793,14.631841,2.7715867,23.03547022,157.9045572,0.039696906,138.3034428,4.900278617,-1.794591836,-1.460592318,149.0001035,-4676400,9.198229218,-2.366029412,35.03887917,-5.266084362,-4643441.578
AVY,Buy,2022-04-19,164.67,34.833874,20.529467,8.16985,43.10666543,174.72751,0.288347613,158.77449,3.988254994,-0.825172915,-0.567193427,171.2102838,-5316300,0.300120048,-0.592058824,-6.517046927,-6.758611172,-95775181.59
XYL,Buy,2022-04-19,82.97,45.225807,27.490194,2.9975057,49.46322771,89.31363264,0.32552228,83.38336736,1.482566321,-0.680239384,-0.097526905,85.86861204,-18855200,43.67977528,-1.237470588,38.20541451,-12.54880586,-9389084.449
CHTR,Buy,2022-04-19,535.62,9.948299,8.067351,3.9070687,52.40287853,577.2003543,0.471844285,540.3236457,9.219177152,-0.109771185,-0.147677157,556.2134935,514100,59.17874396,-8.880911765,44.69804974,-9.820367091,-4106474.85
BIO,Buy,2022-04-19,541.9,0,0,0,42.76965265,601.2845314,0.238594944,541.8974686,14.84676569,-1.019144527,-2.559582043,575.1418347,-46300,27.01814545,-12.85214706,41.50303427,-5.546772023,-1261451.057
PGR,Buy,2022-04-19,109.56,29.945206,18.525425,5.82071,34.81552048,120.1055881,0.101382977,110.0264119,2.51979406,-1.554095258,-0.975147534,115.2495888,11643000,20.03546099,1.108352941,41.66633191,7.12890493,12721576.71
DHR,Buy,2022-04-19,245.02,44.822697,29.191687,3.4937878,26.21695695,269.2154306,-0.018375908,242.2515694,6.740965318,-2.021001349,-2.421494086,255.4386175,-16504895,2.205071665,-2.041411765,35.45324433,-0.78240255,3149653.435
DPZ,Buy,2022-04-19,378.58,0,0,0,53.78337719,410.620079,0.455582957,380.175921,7.611039489,-0.173169513,0.008307901,395.2474133,264600,47.26327313,-9.488764706,44.22206351,-12.15472525,1336978.977
FAST,Buy,2022-04-19,55.05,36.79208,31.625532,12.693424,43.90995392,60.93078467,0.220106081,55.45621533,1.368642335,-1.091227387,-0.520039897,58.19608514,31672300,33.66174056,0.157852941,44.86814882,5.273904157,12000187.35
OTIS,Buy,2022-04-19,74.03,0,0,0,46.60909165,78.97928393,0.252229946,74.11171607,1.216891964,-0.965985506,-0.165951501,76.28372619,-11524900,40.68716094,-0.920058824,38.36601678,-13.71218131,-12863239.96
TFX,Buy,2022-04-19,327.76,30.041006,14.951284,2.405597,49.60722438,356.210464,0.389306377,327.454536,7.188981975,-0.431563191,-1.86060532,343.3356876,-286300,42.61562998,-5.888264706,47.64018346,-1.893519951,1479685.979
SCHW,Buy,2022-04-19,75.04,26.358267,15.461893,3.8430629,34.08842995,95.06232474,0.12799382,74.00667526,5.263912368,-1.450347093,-0.830680005,81.12549851,-87268700,21.47074611,-4.182352941,37.96100427,-12.75760183,-42862540.79
TSCO,Buy,2022-04-19,217.55,24.666996,22.064716,12.500753,35.28294251,240.9433308,0.069703071,219.9586692,5.246165417,-1.677606271,-1.647873464,229.1502606,14723900,25.94936709,1.900735294,39.43138553,5.13549548,1139264.748
COO,Buy,2022-04-19,99.01,69.479454,25.746193,2.6193612,55.05502911,107.2032358,0.447432133,99.01576422,2.04686789,-0.204947277,-0.523337177,103.4485555,11262000,49.14893617,-1.391411765,49.86130016,-2.492098131,6117769.695
